device,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Alajuela 1,2025-08-21T02:12:51.210103,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.198,416.348664,443.971728,556562392,522954018,,,,,Telecable Costa Rica,200.105.99.72,7752c4da-adff-4ea9-a34b-ae4e2b20c9a1,https://www.speedtest.net/result/c/7752c4da-adff-4ea9-a34b-ae4e2b20c9a1,official
OLT Alajuela 1,2025-08-21T02:13:27.858473,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.191,21.514048,420.928728,33162232,593563593,,,,,Telecable Costa Rica,200.105.99.72,2b39f94f-d73a-453c-b039-0cecb9ef45f7,https://www.speedtest.net/result/c/2b39f94f-d73a-453c-b039-0cecb9ef45f7,official
OLT Alajuela 1,2025-08-21T02:18:59.047320,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.188,415.556384,444.35324,544858908,555518797,,,,,Telecable Costa Rica,200.105.99.72,0831470f-fe03-4c8b-8716-b85b23953f97,https://www.speedtest.net/result/c/0831470f-fe03-4c8b-8716-b85b23953f97,official
OLT Alajuela 1,2025-08-21T02:19:37.736583,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.261,18.19328,437.20512,31443828,604987993,,,,,Telecable Costa Rica,200.105.99.72,defb4274-d297-4c82-9832-e192c98b5221,https://www.speedtest.net/result/c/defb4274-d297-4c82-9832-e192c98b5221,official
OLT Alajuela 1,2025-08-21T02:25:09.204779,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.187,414.550392,443.6994,549398196,560471936,,,,,Telecable Costa Rica,200.105.99.72,76f500fb-cd61-47c4-aab4-109e4bf5fc14,https://www.speedtest.net/result/c/76f500fb-cd61-47c4-aab4-109e4bf5fc14,official
OLT Alajuela 1,2025-08-21T02:25:48.665057,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.176,22.054104,420.761888,37470244,623874062,,,,,Telecable Costa Rica,200.105.99.72,e5539266-5c09-4655-99ed-9218e54d6683,https://www.speedtest.net/result/c/e5539266-5c09-4655-99ed-9218e54d6683,official
OLT Alajuela 1,2025-08-21T02:31:19.149535,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.108,415.333912,443.984656,543448320,511244555,,,,,Telecable Costa Rica,200.105.99.72,fcaca73f-9194-49e8-82bc-58f969015cd3,https://www.speedtest.net/result/c/fcaca73f-9194-49e8-82bc-58f969015cd3,official
OLT Alajuela 1,2025-08-21T02:31:47.889155,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.321,20.74252,429.977744,19101536,493037456,,,,,Telecable Costa Rica,200.105.99.72,859cc546-d320-4faf-9ebd-bd1e2356f23b,https://www.speedtest.net/result/c/859cc546-d320-4faf-9ebd-bd1e2356f23b,official
OLT Alajuela 1,2025-08-21T02:37:18.822727,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.968,413.894544,444.410296,552342216,512931082,,,,,Telecable Costa Rica,200.105.99.72,5beff1d2-d9fb-4d58-a7ac-6259bc526084,https://www.speedtest.net/result/c/5beff1d2-d9fb-4d58-a7ac-6259bc526084,official
OLT Alajuela 1,2025-08-21T02:37:58.095761,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.287,21.235696,439.879976,37113008,638580261,,,,,Telecable Costa Rica,200.105.99.72,a66fed07-e56a-43c6-baa6-5367e3752c13,https://www.speedtest.net/result/c/a66fed07-e56a-43c6-baa6-5367e3752c13,official
OLT Alajuela 1,2025-08-21T02:43:28.486634,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.41,416.051744,443.830464,539425532,522633069,,,,,Telecable Costa Rica,200.105.99.72,81eb855f-1a89-4f37-a972-dbed9f39982c,https://www.speedtest.net/result/c/81eb855f-1a89-4f37-a972-dbed9f39982c,official
OLT Alajuela 1,2025-08-21T02:44:08.837247,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.271,19.01272,440.542752,32372924,724432991,,,,,Telecable Costa Rica,200.105.99.72,9b48fb3d-7779-4207-bc7a-2ea1be6aa7cd,https://www.speedtest.net/result/c/9b48fb3d-7779-4207-bc7a-2ea1be6aa7cd,official
OLT Alajuela 1,2025-08-21T02:49:39.565762,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.229,417.231104,443.588768,562118904,505404488,,,,,Telecable Costa Rica,200.105.99.72,10f0bae1-4602-4eb4-80cd-5183dd78b533,https://www.speedtest.net/result/c/10f0bae1-4602-4eb4-80cd-5183dd78b533,official
OLT Alajuela 1,2025-08-21T02:50:11.194931,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.069,15.913032,432.196792,20828412,521870445,,,,,Telecable Costa Rica,200.105.99.72,87457c31-b3c2-45e9-bec8-1af7fc73f59e,https://www.speedtest.net/result/c/87457c31-b3c2-45e9-bec8-1af7fc73f59e,official
